,tollgate_id,vehicle_model_0-2_count_lag_1,vehicle_model_3-5_count_lag_1,vehicle_model_6-7_count_lag_1,has_etc_0_count_lag_1,has_etc_1_count_lag_1,vehicle_type_0_count_lag_1,vehicle_type_1_count_lag_1,volume_lag_1,vehicle_model_0-2_count_lag_2,vehicle_model_3-5_count_lag_2,vehicle_model_6-7_count_lag_2,has_etc_0_count_lag_2,has_etc_1_count_lag_2,vehicle_type_0_count_lag_2,vehicle_type_1_count_lag_2,volume_lag_2,vehicle_model_0-2_count_mean,vehicle_model_3-5_count_mean,vehicle_model_6-7_count_mean,has_etc_0_count_mean,has_etc_1_count_mean,vehicle_type_0_count_mean,vehicle_type_1_count_mean,volume_mean,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,other_tollgate_1_has_etc_0_count_lag_1,other_tollgate_1_has_etc_1_count_lag_1,other_tollgate_1_volume_mean,Month,Day,Day_of_week,Is_weekend,Hour,Minute,target_1,target_2,target_3,target_4,target_5,target_6
2016-09-19 02:00:00,1,6,1,0,6,1,4,3,7,12,2,0,12,2,8,6,14,38.0,3.0,1.0,33.333333333333336,8.666666666666666,30.5,11.5,42.0,1008.2666666666667,1013.2666666666667,119.66666666666669,3.9333333333333336,23.666666666666664,70.0,0.0,4,0,66.5,9,19,0,False,2,0,7,7,10,10,14,20
2016-09-19 02:00:00,3,3,1,0,4,0,3,1,4,4,1,0,4,1,2,3,5,60.833333333333336,5.0,0.6666666666666666,48.5,18.0,57.0,9.5,66.5,1008.2666666666667,1013.2666666666667,119.66666666666669,3.9333333333333336,23.666666666666664,70.0,0.0,6,1,42.0,9,19,0,False,2,0,5,4,0,5,3,10
2016-09-19 02:20:00,3,4,1,0,5,0,3,2,5,3,1,0,4,0,3,1,4,33.5,3.3333333333333335,0.3333333333333333,26.833333333333332,10.333333333333334,30.833333333333332,6.333333333333333,37.166666666666664,1008.2777777777777,1013.2777777777777,84.7777777777778,4.122222222222222,23.91111111111111,69.0,0.0,6,1,19.833333333333332,9,19,0,False,2,20,4,0,5,3,10,4
2016-09-19 02:20:00,1,5,2,0,6,1,2,5,7,6,1,0,6,1,4,3,7,16.833333333333332,2.6666666666666665,0.3333333333333333,16.5,3.3333333333333335,12.666666666666666,7.166666666666667,19.833333333333332,1008.2777777777777,1013.2777777777777,84.7777777777778,4.122222222222222,23.91111111111111,69.0,0.0,5,0,37.166666666666664,9,19,0,False,2,20,7,10,10,14,20,18
2016-09-19 02:40:00,1,5,2,0,7,0,2,5,7,5,2,0,6,1,2,5,7,10.0,1.6666666666666667,0.0,10.0,1.6666666666666667,6.333333333333333,5.333333333333333,11.666666666666666,1008.2888888888889,1013.2888888888889,49.888888888888914,4.311111111111111,24.155555555555555,68.0,0.0,2,2,19.166666666666668,9,19,0,False,2,40,10,10,14,20,18,17
2016-09-19 02:40:00,3,3,1,0,2,2,3,1,4,4,1,0,5,0,3,2,5,16.5,2.5,0.16666666666666666,14.333333333333334,4.833333333333333,15.333333333333334,3.8333333333333335,19.166666666666668,1008.2888888888889,1013.2888888888889,49.888888888888914,4.311111111111111,24.155555555555555,68.0,0.0,7,0,11.666666666666666,9,19,0,False,2,40,0,5,3,10,4,7
2016-09-19 03:00:00,1,9,1,0,10,0,6,4,10,5,2,0,7,0,2,5,7,6.833333333333333,1.3333333333333333,0.0,7.333333333333333,0.8333333333333334,4.0,4.166666666666667,8.166666666666666,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,0,3.6666666666666665,9,19,0,False,3,0,10,14,20,18,17,23
2016-09-19 03:00:00,3,0,0,0,0,0,0,0,0,3,1,0,2,2,3,1,4,3.0,0.6666666666666666,0.0,3.0,0.6666666666666666,2.5,1.1666666666666667,3.6666666666666665,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,10,0,8.166666666666666,9,19,0,False,3,0,5,3,10,4,7,3
2016-09-19 03:20:00,1,9,1,0,10,0,4,6,10,9,1,0,10,0,6,4,10,7.666666666666667,1.5,0.0,8.5,0.6666666666666666,4.333333333333333,4.833333333333333,9.166666666666666,1008.1999999999999,1013.1888888888889,14.666666666666666,4.688888888888889,24.666666666666664,65.77777777777777,0.0,4,1,3.8333333333333335,9,19,0,False,3,20,14,20,18,17,23,28
2016-09-19 03:20:00,3,5,0,0,4,1,3,2,5,0,0,0,0,0,0,0,0,3.1666666666666665,0.6666666666666666,0.0,3.1666666666666665,0.6666666666666666,2.3333333333333335,1.5,3.8333333333333335,1008.1999999999999,1013.1888888888889,14.666666666666666,4.688888888888889,24.666666666666664,65.77777777777777,0.0,10,0,9.166666666666666,9,19,0,False,3,20,3,10,4,7,3,11
2016-09-19 03:40:00,3,2,1,0,3,0,2,1,3,5,0,0,4,1,3,2,5,2.8333333333333335,0.6666666666666666,0.0,3.0,0.5,2.3333333333333335,1.1666666666666667,3.5,1008.0999999999999,1013.0777777777778,14.333333333333334,4.877777777777778,24.933333333333334,64.55555555555556,0.0,14,0,9.166666666666666,9,19,0,False,3,40,10,4,7,3,11,7
2016-09-19 03:40:00,1,11,3,0,14,0,1,13,14,9,1,0,10,0,4,6,10,7.5,1.6666666666666667,0.0,8.833333333333334,0.3333333333333333,3.1666666666666665,6.0,9.166666666666666,1008.0999999999999,1013.0777777777778,14.333333333333334,4.877777777777778,24.933333333333334,64.55555555555556,0.0,3,0,3.5,9,19,0,False,3,40,20,18,17,23,28,24
2016-09-19 04:00:00,3,5,5,0,9,1,4,6,10,2,1,0,3,0,2,1,3,3.1666666666666665,1.3333333333333333,0.0,3.8333333333333335,0.6666666666666666,2.5,2.0,4.5,1008.0,1012.9666666666666,14.0,5.066666666666666,25.2,63.333333333333336,0.0,18,2,11.333333333333334,9,19,0,False,4,0,4,7,3,11,7,13
